Team,Repository,Branch (if not the default),Source
openstack-charmers,https://git.launchpad.net/charm-cinder-infinidat,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder-lvm,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder-netapp,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder-nimblestorage,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder-purestorage,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder-solidfire,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cinder-three-par,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-cloudkitty,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-designate,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-designate-bind,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-discoveryserver,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-glance,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-glance-simplestreams-sync,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-gnocchi,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-hacluster,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-heat,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-infinidat-tools,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-ironic-api,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-ironic-conductor,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-ironic-dashboard,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-keystone,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-keystone-kerberos,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-keystone-ldap,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-keystone-openidc,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-keystone-saml-mellon,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-magnum,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-magnum-dashboard,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-magpie,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-manila,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-manila-dashboard,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-manila-ganesha,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-manila-generic,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-manila-infinidat,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-manila-netapp,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-masakari,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-masakari-monitors,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-microceph,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-mysql-innodb-cluster,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-neutron-api,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-neutron-api-plugin-arista,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-neutron-api-plugin-ironic,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-neutron-api-plugin-ovn,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-neutron-dynamic-routing,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-neutron-gateway,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-neutron-openvswitch,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-nova-cell-controller,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-nova-cloud-controller,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-nova-compute,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-nova-compute-nvidia-vgpu,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-octavia,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-octavia-dashboard,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-octavia-diskimage-retrofit,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-openidc-test-fixture,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-openstack-dashboard,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-openstack-loadbalancer,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-pacemaker-remote,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-percona-cluster,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-placement,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-rabbitmq-server,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-swift-proxy,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-swift-storage,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-trilio-data-mover,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-trilio-dm-api,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-trilio-horizon-plugin,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-trilio-wlm,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-watcher,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-watcher-dashboard,,auto-discover
openstack-charmers,https://git.launchpad.net/charm-woodpecker,,auto-discover
openstack-charmers,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-apache-tests,,auto-discover
openstack-charmers,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-apache-tests-charm,,auto-discover
openstack-charmers,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-mysql-tests,,auto-discover
openstack-charmers,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-mysql-tests-charm,,auto-discover
openstack-charmers,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-os-tests,,auto-discover
openstack-charmers,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-os-tests-charm,,auto-discover
openstack-charmers,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-ssh-tests,,auto-discover
openstack-charmers,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-ssh-tests-charm,,auto-discover
openstack-charmers,https://git.launchpad.net/~openstack-charmers/charms/+source/layer-openstack-api,,auto-discover
,https://github.com/canonical/airflow-coordinator-k8s-operator,,auto-discover
,https://github.com/canonical/airflow-kubernetes-executor-k8s-operator,,auto-discover
,https://github.com/canonical/any-charm,,auto-discover
,https://github.com/canonical/app-center-ratings-k8s-operator,,auto-discover
,https://github.com/canonical/apr-operator,,auto-discover
,https://github.com/canonical/archive-auth-mirror,,auto-discover
,https://github.com/canonical/auditd-operator,,auto-discover
,https://github.com/canonical/authentik-ldap-outpost-operator,,auto-discover
,https://github.com/canonical/authentik-server-operator,,auto-discover
,https://github.com/canonical/authentik-worker-operator,,auto-discover
,https://github.com/canonical/azure-auth-integrator,,auto-discover
,https://github.com/canonical/basic-auth-service-charm,,auto-discover
,https://github.com/canonical/blackbox-exporter-operator,,auto-discover
,https://github.com/canonical/cassandra-operator,,auto-discover
,https://github.com/canonical/certbot-k8s-operator,,auto-discover
,https://github.com/canonical/certificate-transfer-interface,,auto-discover
,https://github.com/canonical/charm-advanced-routing,,auto-discover
,https://github.com/canonical/charm-ceph-nvme,,auto-discover
,https://github.com/canonical/charm-juju-backup-all,,auto-discover
,https://github.com/canonical/charm-lldpd,,auto-discover
,https://github.com/canonical/charm-local-juju-users,,auto-discover
,https://github.com/canonical/charm-local-users,,auto-discover
,https://github.com/canonical/charm-logrotated,,auto-discover
,https://github.com/canonical/charm-lxd,,auto-discover
,https://github.com/canonical/charm-microceph,,auto-discover
,https://github.com/canonical/charm-mssql,,auto-discover
,https://github.com/canonical/charm-mssql-infra,,auto-discover
,https://github.com/canonical/charm-nrpe,,auto-discover
,https://github.com/canonical/charm-openstack-service-checks,,auto-discover
,https://github.com/canonical/charm-prometheus-blackbox-exporter,,auto-discover
,https://github.com/canonical/charm-prometheus-libvirt-exporter,,auto-discover
,https://github.com/canonical/charm-rabbitmq-k8s,,auto-discover
,https://github.com/canonical/charm-rolling-ops,,auto-discover
,https://github.com/canonical/charm-snap-hold,,auto-discover
,https://github.com/canonical/charm-sysconfig,,auto-discover
,https://github.com/canonical/charm-userdir-ldap,,auto-discover
,https://github.com/canonical/charmed-canonical-cla,,auto-discover
,https://github.com/canonical/charmed-etcd-benchmark-operator,,auto-discover
,https://github.com/canonical/charmed-gh-jira-sync-bot,,auto-discover
,https://github.com/canonical/cluster-api-k8s,,auto-discover
,https://github.com/canonical/comsys-libs,,auto-discover
,https://github.com/canonical/comsys-openldap-k8s-operator,,auto-discover
,https://github.com/canonical/configurable-nginx-charm,,auto-discover
,https://github.com/canonical/consul-client-operator,,auto-discover
,https://github.com/canonical/container-runner-operator,,auto-discover
,https://github.com/canonical/cos-coordinated-workers,,auto-discover
,https://github.com/canonical/cos-registration-server-k8s-operator,,auto-discover
,https://github.com/canonical/cve-scanner-operator,,auto-discover
,https://github.com/canonical/data-integrator,,auto-discover
,https://github.com/canonical/data-kubeflow-integrator,,auto-discover
,https://github.com/canonical/data-platform-libs,,auto-discover
,https://github.com/canonical/datahub-k8s-operator,,auto-discover
,https://github.com/canonical/ddeb-retriever-operator,,auto-discover
,https://github.com/canonical/docker-registry-charm,,auto-discover
,https://github.com/canonical/forgejo-k8s-operator,,auto-discover
,https://github.com/canonical/forgejo-runner-k8s-operator,,auto-discover
,https://github.com/canonical/gatus-k8s-operator,,auto-discover
,https://github.com/canonical/generic-exporter-operator,,auto-discover
,https://github.com/canonical/git-integrator,,auto-discover
,https://github.com/canonical/git-ubuntu-operator,,auto-discover
,https://github.com/canonical/github-profiles-automator,,auto-discover
,https://github.com/canonical/github-runner-image-builder-operator,,auto-discover
,https://github.com/canonical/github-runner-operator,,auto-discover
,https://github.com/canonical/glauth-utils,,auto-discover
,https://github.com/canonical/hive-metastore-k8s-operator,,auto-discover
,https://github.com/canonical/hook-service-operator,,auto-discover
,https://github.com/canonical/hpct-slurm-client-operator,,auto-discover
,https://github.com/canonical/hpct-slurm-server-operator,,auto-discover
,https://github.com/canonical/identity-saml-provider-operator,,auto-discover
,https://github.com/canonical/infra-backup-operator,,auto-discover
,https://github.com/canonical/ingress-configurator-operator,,auto-discover
,https://github.com/canonical/intel-device-plugins-k8s-operator,,auto-discover
,https://github.com/canonical/intro-to-charming-mc,,auto-discover
,https://github.com/canonical/irc-bridge-operator,,auto-discover
,https://github.com/canonical/istio-beacon-k8s-operator,,auto-discover
,https://github.com/canonical/istio-ingress-k8s-operator,,auto-discover
,https://github.com/canonical/istio-k8s-operator,,auto-discover
,https://github.com/canonical/jimm-k8s-operator,,auto-discover
,https://github.com/canonical/johnny,,auto-discover
,https://github.com/canonical/juju-introspect-operator,,auto-discover
,https://github.com/canonical/jwt-integrator,,auto-discover
,https://github.com/canonical/k6-k8s-operator,,auto-discover
,https://github.com/canonical/kafka-benchmark-operator,,auto-discover
,https://github.com/canonical/kafka-test-app,,auto-discover
,https://github.com/canonical/kafka-ui-k8s-operator,,auto-discover
,https://github.com/canonical/kafka-ui-operator,,auto-discover
,https://github.com/canonical/karapace-k8s-operator,,auto-discover
,https://github.com/canonical/karapace-operator,,auto-discover
,https://github.com/canonical/keystone-k8s-auth-operator,,auto-discover
,https://github.com/canonical/kiali-k8s-operator,,auto-discover
,https://github.com/canonical/kubeflow-trainer-operator,,auto-discover
,https://github.com/canonical/landscape-client-charm,,auto-discover
,https://github.com/canonical/landscape-debarchive-operator,,auto-discover
,https://github.com/canonical/language-tool-k8s-charm,,auto-discover
,https://github.com/canonical/launchpad-retracer-operator,,auto-discover
,https://github.com/canonical/layer-basic,,auto-discover
,https://github.com/canonical/layer-beats-base,,auto-discover
,https://github.com/canonical/layer-filebeat,,auto-discover
,https://github.com/canonical/ldap-integrator,,auto-discover
,https://github.com/canonical/livepatch-machine-charm,,auto-discover
,https://github.com/canonical/maas-image-mirror-operator,,auto-discover
,https://github.com/canonical/maas-site-manager-k8s-operator,,auto-discover
,https://github.com/canonical/maubot-operator,,auto-discover
,https://github.com/canonical/mediawiki-k8s-operator,,auto-discover
,https://github.com/canonical/microcluster-token-distributor-operator,,auto-discover
,https://github.com/canonical/microovn-operator,,auto-discover
,https://github.com/canonical/mlops-libs,,auto-discover
,https://github.com/canonical/mongos-k8s-operator,,auto-discover
,https://github.com/canonical/mongos-operator,,auto-discover
,https://github.com/canonical/munge-operator,,auto-discover
,https://github.com/canonical/mysql-test-app,,auto-discover
,https://github.com/canonical/ngc-integrator-operator,,auto-discover
,https://github.com/canonical/notary-k8s-operator,,auto-discover
,https://github.com/canonical/o11y-tester-operator,,auto-discover
,https://github.com/canonical/observability-libs,,auto-discover
,https://github.com/canonical/opencti-operator,,auto-discover
,https://github.com/canonical/opensearch-benchmark-operator,,auto-discover
,https://github.com/canonical/opensearch-dashboards-operator,,auto-discover
,https://github.com/canonical/opentelemetry-collector-integrator-operator,,auto-discover
,https://github.com/canonical/otel-ebpf-profiler-operator,,auto-discover
,https://github.com/canonical/penpot-operator,,auto-discover
,https://github.com/canonical/polar-signals-cloud-integrator-operator,,auto-discover
,https://github.com/canonical/postgresql-test-app,,auto-discover
,https://github.com/canonical/postgresql-watcher-operator,,auto-discover
,https://github.com/canonical/rawfile-localpv-operator,,auto-discover
,https://github.com/canonical/request-authentication-configurator,,auto-discover
,https://github.com/canonical/resource-dispatcher,,auto-discover
,https://github.com/canonical/role-distributor-operator,,auto-discover
,https://github.com/canonical/ros2bag-fileserver-k8s-operator,,auto-discover
,https://github.com/canonical/s3proxy-k8s-operator,,auto-discover
,https://github.com/canonical/script-exporter-operator,,auto-discover
,https://github.com/canonical/sloth-k8s-operator,,auto-discover
,https://github.com/canonical/snmp-exporter-operator,,auto-discover
,https://github.com/canonical/spark-test-app,,auto-discover
,https://github.com/canonical/sysbench-operator,,auto-discover
,https://github.com/canonical/template-connect-integrator,,auto-discover
,https://github.com/canonical/tenant-service-operator,,auto-discover
,https://github.com/canonical/tls-certificates-interface,,auto-discover
,https://github.com/canonical/tls-certificates-interface-demo,,auto-discover
,https://github.com/canonical/tls-constraints-operator,,auto-discover
,https://github.com/canonical/tls-truststore-operator,,auto-discover
